Disease,Common Symptoms,Notes,Severity Tagging,Disclaimers & Advice
Rabies 🌾,"Fever, anxiety, hydrophobia, paralysis",Dog bites untreated,Emergency,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Japanese Encephalitis 🌾,"High fever, headache, seizures, coma, signs of meningitis, stupor, disorientation, tremors, paralysis (generalized), hypertonia, loss of coordination","Can be fatal if not treated, and Clinically it is difficult to differentiate between JE and other viral encephalitis.",Emergency,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Scrub Typhus 🌾,"Fever, rash, black scab at bite site",Spread by mites,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Rickettsial Fever 🌾,"Fever, body rash, joint pain, headache","Tick-borne, underdiagnosed",General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Diphtheria 🌾,"Sore throat, gray throat membrane, difficulty breathing",Still seen in unvaccinated children,Emergency,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Pertussis (Whooping Cough),"Severe coughing fits, whooping sound, vomiting",Childhood infection,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Measles,"Fever, cough, red eyes, spreading rash",Misdiagnosed as viral rash,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Mumps,"Painful swollen salivary glands, fever, headache",Spreads in schools,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Chickenpox,"Itchy rash with fluid blisters, fever",Highly contagious,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Polio (historical) 🌾,"Fever, muscle weakness, paralysis",Previously rural burden,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Influenza (Flu),"Fever, sore throat, cough, headache",Seasonal,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Common Cold,"Runny nose, sneezing, mild fever",Self-limiting,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
HIV/AIDS,"Recurrent infections, weight loss, swollen lymph nodes",Stigma leads to late diagnosis,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
STDs (general),"Genital sores, discharge, pelvic pain",Ignored due to stigma,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Tetanus,"Muscle stiffness, lockjaw, spasms",From contaminated wounds,Emergency,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
🧪 GI & Water-Borne Diseases,,,,
Cholera 🌾,"Profuse watery diarrhea, vomiting, dehydration",Waterborne epidemics,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Gastroenteritis 🌾,"Diarrhea, vomiting, cramps, dehydration",Ignored early in children,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Amoebiasis 🌾,"Loose stools with blood/mucus, abdominal pain",Mistaken for “bad stomach”,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Giardiasis 🌾,"Foul-smelling stools, bloating, fatigue",Linked to poor hygiene,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Helminth (Worm) Infections 🌾,"Abdominal pain, worms in stool, anemia",Very common in kids,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Ascariasis 🌾,"Abdominal pain, malnutrition, worms",From contaminated soil,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Hookworm 🌾,"Anemia, weakness, abdominal pain",Linked to barefoot walking,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Tapeworm,"Nausea, weight loss, abdominal pain",From contaminated pork/beef,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Peptic Ulcer,"Burning stomach pain, nausea, black stools",Worse on empty stomach,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Gastritis,"Upper abdominal pain, indigestion, bloating",Linked with spicy diet,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Appendicitis,"Severe RLQ pain, fever, vomiting",Surgical emergency,Emergency,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Gallstones,"Upper abdominal pain, vomiting post fatty meals",Can cause jaundice,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Hepatitis A/E 🌾,"Jaundice, dark urine, fatigue",Mistaken for “heat illness”,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
Hepatitis B/C,"Jaundice, liver pain, chronic fatigue",Can lead to cirrhosis,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/vaccination.
"🧴 Skin, Eye & Neglected Diseases",,,,
Leprosy 🌾,"Numb skin patches, ulcers, deformities",Misdiagnosed as rashes,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Ringworm 🌾,Itchy red circular patches,Seen as “normal skin problem”,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Scabies 🌾,"Severe itching at night, burrows in skin folds","Ignored, treated at home",General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Trachoma 🌾,"Eye redness, itching, discharge, blurred vision",Preventable blindness,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Conjunctivitis,"Red watery eyes, swelling, discharge",Seasonal outbreaks,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Anthrax 🌾,"Skin ulcers, fever, swollen nodes",Linked to livestock,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Brucellosis 🌾,"Fever, joint pain, sweating",Rural dairy workers at risk,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
❤️ Non-Communicable & Lifestyle Diseases,,,,
Hypertension 🌾,"Often silent, sometimes headache/dizziness",Silent killer,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Diabetes 🌾,"Excessive urination, thirst, weight loss",Poor awareness,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Anemia 🌾,"Fatigue, pale skin, dizziness",Widespread in women/children,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Obesity,"Weight gain, breathlessness, joint pain",Rising in urban & rural youth,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Heart Attack,"Severe chest pain, sweating, nausea",Emergency,Emergency,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Stroke 🌾,"Sudden paralysis, slurred speech",Late diagnosis,Emergency,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Asthma 🌾,"Wheezing, breathlessness, cough",Linked with indoor smoke,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
COPD 🌾,"Chronic cough with sputum, breathlessness",Chulha smoke & smoking,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Kidney Stones 🌾,"Severe flank pain, blood in urine",Dehydration can be a factor,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
CKD 🌾,"Swelling, fatigue, decreased urine",Ignored until advanced,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Cervical Cancer 🌾,"Abnormal vaginal bleeding, pelvic pain",No screening for many women,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Breast Cancer,"Lump, nipple discharge, pain",Detected late,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Oral Cancer 🌾,"Non-healing mouth ulcer, difficulty swallowing",Linked with tobacco chewing,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Stomach Cancer,"Weight loss, stomach pain, vomiting blood",Late stage at detection,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Liver Cancer,"Abdominal swelling, jaundice, fatigue",Often linked to hepatitis,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Esophageal Cancer,"Difficulty swallowing, chest pain",Tobacco/alcohol risk,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Prostate Cancer,"Frequent urination, pelvic pain",Elderly males,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Epilepsy 🌾,Recurrent seizures,Stigma delays care,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Parkinson’s,"Tremors, stiffness, slow movements",A disease of the elderly,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Depression & Anxiety 🌾,"Fatigue, sadness, poor focus",Rarely diagnosed,General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
